"year","carrier_name","late_in_mins","on_time_percentage","overall_delay"
2010,"American Airlines Inc.",10.2890364035988,81.6793385129852,3.6842667613127
2010,"Delta Air Lines Inc.",11.1807720066087,80.3030688071132,3.97019535508129
2010,"ExpressJet Airlines Inc.",11.2200806591928,80.154878115286,2.71683325672528
2010,"SkyWest Airlines Inc.",10.0016556357681,81.8100283079683,2.24789291820318
2010,"Southwest Airlines Co.",8.91893103255084,80.6833693942215,2.49937882785661
2010,"United Air Lines Inc.",7.75377243274912,86.8386765807492,1.91767541775849
2011,"American Airlines Inc.",11.0010647015212,80.6796623428265,3.96451923988115
2011,"Delta Air Lines Inc.",9.05220585696174,83.3193834880971,3.07516143725612
2011,"ExpressJet Airlines Inc.",13.2582811634826,79.5048004794895,4.18148219778357
2011,"SkyWest Airlines Inc.",9.89722102522257,81.8883000669301,2.25450861381327
2011,"Southwest Airlines Co.",8.7236139989288,82.5741076751489,2.30644093666529
2011,"United Air Lines Inc.",10.6812622906572,81.9238975360847,2.68658984872049
2012,"American Airlines Inc.",11.8119188149728,79.1036137237729,4.0752541792011
2012,"Delta Air Lines Inc.",7.17950504771688,87.1913335837206,2.73232997422218
2012,"ExpressJet Airlines Inc.",13.2632531256346,79.9148971658979,4.5169063469962
2012,"SkyWest Airlines Inc.",9.21653186431842,83.254552740203,2.23046338550359
2012,"Southwest Airlines Co.",7.73466487218718,84.132972683872,2.27838251346956
2012,"United Air Lines Inc.",9.45463510079356,82.2855116072403,3.17074881900812
2013,"American Airlines Inc.",11.3588891184824,80.2087005141544,3.4651902452464
2013,"Delta Air Lines Inc.",8.79129553314694,85.0057641088158,3.56655491804365
2013,"ExpressJet Airlines Inc.",15.4386124213733,74.7338750314941,4.44328977133249
2013,"SkyWest Airlines Inc.",11.0783178653658,81.215033005015,2.85901635758076
2013,"Southwest Airlines Co.",10.3055591914418,77.6295122330866,2.80994672345724
2013,"United Air Lines Inc.",11.8410761468028,80.0189619921701,3.50108031758112
2014,"American Airlines Inc.",13.210741721209,77.7778003345622,4.10968281551979
2014,"Delta Air Lines Inc.",9.57059462293118,83.8109413614918,3.59377293492099
2014,"ExpressJet Airlines Inc.",16.1472883058501,75.6106657649235,5.06172050603704
2014,"SkyWest Airlines Inc.",12.2005192392017,78.7659963661062,3.37613800648615
2014,"Southwest Airlines Co.",13.0786747860821,74.5339182536162,3.7795081527592
2014,"United Air Lines Inc.",13.3113510690513,77.6968067486962,4.06963884610642
2015,"American Airlines Inc.",10.7873382884471,82.0548386741306,3.79346376779654
2015,"Delta Air Lines Inc.",8.77988786536543,85.9206539463117,3.19863132468544
2015,"ExpressJet Airlines Inc.",11.8875010152566,81.2763165206835,4.10421876536244
2015,"SkyWest Airlines Inc.",10.802490396079,82.5937533186765,3.4234162446376
2015,"Southwest Airlines Co.",9.80412487964148,81.2477661854967,3.03630052581319
2015,"United Air Lines Inc.",13.2366855884097,79.6801660594764,4.31728797763281
2016,"American Airlines Inc.",11.7106873192308,80.5861989109716,3.96961055008502
2016,"Delta Air Lines Inc.",9.94517848293131,85.9824893420317,4.03902801647312
2016,"ExpressJet Airlines Inc.",12.8158230295998,82.5326033092812,5.11784932980408
2016,"SkyWest Airlines Inc.",12.9031539876297,83.1333688055337,4.23638718377511
2016,"Southwest Airlines Co.",8.89618790805914,82.2531020959734,2.5102174468465
2016,"United Air Lines Inc.",11.1539280267515,83.4275619796466,3.29716428781251
2017,"American Airlines Inc.",9.5530134771877,82.9838484400258,3.35268742358119
2017,"Delta Air Lines Inc.",9.55555192440568,86.5973220788437,3.61867635249958
2017,"ExpressJet Airlines Inc.",14.279663210463,82.0338312093668,6.04934606190715
2017,"SkyWest Airlines Inc.",15.5731995695849,79.5881416761706,5.06494887209325
2017,"Southwest Airlines Co.",8.90930429598017,80.7264568362256,2.15198794991684
2017,"United Air Lines Inc.",12.7483346574589,81.45511214325,3.60674998472163
